,epoch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,train_cross_acc_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,cross_test_loss_avg_over_batch,ra_test_loss_avg_over_batch,test_acc,test_asr,test_ra,test_cross_acc
14,14,0.43003465562982635,0.84806,0.8600289403383793,0.8125,0.26343856655290104,0.8199658703071673,0.4545496140099779,0.3045224792940516,0.5418490948556345,5.435113027062215,0.8454,0.8892222222222222,0.09733333333333333,0.8139
15,15,0.40295815166762416,0.85826,0.8683492876224399,0.8293515358361775,0.251919795221843,0.8340443686006825,0.5776192300681826,0.1499884874677994,0.6828450379492361,7.584420929492359,0.8058,0.942,0.052444444444444446,0.7784
16,16,0.3883311507265891,0.86324,0.875862644701692,0.8284982935153583,0.26087883959044367,0.832231228668942,0.5769353026076208,0.13146685756428142,0.6076111695434474,7.309452023304684,0.8166,0.9508888888888889,0.04533333333333334,0.8088
17,17,0.3751959902474947,0.86928,0.8785340605520926,0.8459897610921502,0.23762798634812288,0.8454564846416383,0.39265103430687626,0.2669565880172689,0.4831515324266651,5.436506519854908,0.8695,0.8997777777777778,0.0918888888888889,0.8351
18,18,0.3594327628841181,0.87484,0.8867152715939448,0.8521757679180887,0.23464163822525597,0.8406569965870307,0.5778271084344839,0.03048790261005117,0.5182872633390789,10.323506771678655,0.8057,0.9892222222222222,0.010333333333333333,0.8336
19,19,0.3498155828708273,0.87786,0.8882457702582368,0.8513225255972696,0.23186860068259385,0.8513225255972696,0.5302905264911772,0.0819368779816678,0.5281825341001342,8.829499090221566,0.8199,0.9718888888888889,0.024888888888888887,0.8277
20,20,0.3369363679948365,0.88254,0.8920024487978628,0.8598549488054608,0.22674914675767918,0.8576151877133106,0.442654053433032,0.08594987428629063,0.4653031397846681,9.3211695442737,0.8545,0.9673333333333334,0.02988888888888889,0.849
21,21,0.3231030493174368,0.8866,0.8969556990204809,0.8658276450511946,0.21245733788395904,0.8572952218430034,0.5651126737836041,0.022591059358501937,0.45973313099975827,11.476336492619044,0.8114,0.9918888888888889,0.00788888888888889,0.8477
22,22,0.3196010499087441,0.88774,0.8987088156723063,0.8668941979522184,0.22290955631399317,0.8561220136518771,0.41858792908584014,0.1876156927204468,0.6017525829846346,6.902535163180929,0.8603,0.9312222222222222,0.06177777777777778,0.8074
23,23,0.2945054098010978,0.89682,0.9060552092609083,0.8922781569965871,0.19688566552901024,0.8636945392491467,0.38902027320258226,0.06805606480215637,0.42953972461857376,9.03424438288514,0.8722,0.9757777777777777,0.02288888888888889,0.8577
24,24,0.29969605256605636,0.89566,0.9043855743544078,0.8786262798634812,0.21629692832764505,0.8707337883959044,0.41757845275009736,0.10047053669015286,0.4791021599799772,8.895192589558347,0.8659,0.9622222222222222,0.034888888888888886,0.8506
25,25,0.2901983265109989,0.89864,0.9086709706144257,0.8835324232081911,0.20861774744027303,0.8677474402730375,0.4019361485408831,0.044276584418569236,0.4504166909410984,10.512829001520721,0.863,0.9846666666666667,0.015111111111111112,0.8566
26,26,0.2757590341160212,0.90302,0.9119545859305432,0.8929180887372014,0.1943259385665529,0.8738267918088737,0.37423600558238695,0.09825618885142702,0.43653645168376876,10.413595830890495,0.8749,0.9652222222222222,0.03311111111111111,0.8546
27,27,0.2793413915330797,0.90184,0.9128450578806767,0.8873720136518771,0.20179180887372014,0.8668941979522184,0.4699301014218149,0.055610340587060214,0.4782535465835016,10.628715152471838,0.8454,0.9803333333333333,0.01877777777777778,0.8465
28,28,0.270833964885958,0.90492,0.914959928762244,0.8920648464163823,0.1981655290102389,0.8728668941979523,0.4705200078366678,0.07963092491345507,0.5919311993484255,9.372738005409778,0.8529,0.9702222222222222,0.028555555555555556,0.8274
29,29,0.26451648697447594,0.90958,0.9190783615316117,0.8956911262798635,0.1943259385665529,0.8801194539249146,0.3789023262790487,0.12032607537497517,0.48155068068564694,8.50598776508385,0.8812,0.9577777777777777,0.03933333333333333,0.85
30,30,0.2536554200684323,0.91112,0.9209427871772039,0.8937713310580204,0.19261945392491467,0.88214590443686,0.3386822942691513,0.06150946691369926,0.40910569399218016,9.485148228390116,0.89,0.9781111111111112,0.020555555555555556,0.8668
31,31,0.25299612186906284,0.91062,0.9208593054318789,0.8907849829351536,0.19773890784982937,0.881292662116041,0.3942955658782887,0.13253109986093684,0.4161648889885673,8.309246137108602,0.8697,0.9516666666666667,0.045,0.8649
32,32,0.2469953700728581,0.91336,0.9237811665182547,0.8946245733788396,0.19901877133105803,0.8827858361774744,0.6984475119204461,0.02078738305258604,0.6028616707536238,13.528758304219851,0.7882,0.9914444444444445,0.0077777777777777776,0.8166
33,33,0.23987545905744329,0.91662,0.9270926090828139,0.9027303754266212,0.18664675767918087,0.8834257679180887,0.33429691181341303,0.21077892677464954,0.4561597006984904,7.597185819921359,0.8913,0.9255555555555556,0.06922222222222223,0.8591
34,34,0.24116786068205334,0.91572,0.9251725289403384,0.8976109215017065,0.1945392491467577,0.8885452218430034,0.39451966293250457,0.08691249095218283,0.4345757889596722,8.811743091529523,0.8787,0.9677777777777777,0.03111111111111111,0.8633
35,35,0.22850839401145115,0.92058,0.9305153606411398,0.9061433447098977,0.191339590443686,0.8897184300341296,0.3580799828979033,0.09631541604832025,0.4406561849615242,10.101430060158313,0.8876,0.9641111111111111,0.03266666666666666,0.8606
36,36,0.23058646979272518,0.92044,0.9295414069456812,0.9031569965870307,0.18984641638225255,0.89419795221843,0.36459130444858645,0.08442411145431475,0.42988988511924503,9.773622311336894,0.8839,0.9692222222222222,0.029333333333333333,0.8635
37,37,0.22432560879556115,0.9218,0.9319345503116652,0.9027303754266212,0.18920648464163822,0.8924914675767918,0.5280113601231877,0.026185689093938595,0.45331445449515234,13.50563789421404,0.8295,0.991,0.008222222222222223,0.8599
38,38,0.22404033626856096,0.92102,0.9315171415850401,0.9010238907849829,0.1943259385665529,0.8907849829351536,0.40241649105579036,0.1067609281056154,0.4927722475951231,9.047202298338984,0.8756,0.961,0.03611111111111111,0.85
39,39,0.21255383469030986,0.9252,0.9341329029385574,0.9061433447098977,0.18664675767918087,0.900490614334471,0.4135199457029753,0.07590109916587531,0.4781218640789201,10.300730047091632,0.8738,0.9741111111111111,0.024444444444444446,0.8566
